Date,Client,Pays,Segment,Produit,Ventes,Churn
18/06/2024,Kappa,Canada,Enterprise,Premium,2500,Non
20/06/2024,Lambda,France,SMB,Pro,1100,Non
22/06/2024,Mu,USA,Enterprise,Pro,1200,Non
25/06/2024,Nu,UK,Consumer,Basic,300,Oui
28/06/2024,Xi,Allemagne,Enterprise,Premium,2500,Non
01/07/2024,Omicron,USA,SMB,Basic,450,Oui
03/07/2024,Pi,France,Enterprise,Pro,1200,Non
05/07/2024,Rho,Canada,SMB,Pro,1100,Non
08/07/2024,Sigma,USA,Enterprise,Premium,2500,Non
10/07/2024,Tau,UK,Enterprise,Pro,1200,Oui
12/07/2024,Upsilon,France,SMB,Basic,450,Non
15/07/2024,Phi,USA,Consumer,Basic,300,Oui
18/07/2024,Chi,Allemagne,Enterprise,Premium,2500,Non
20/07/2024,Psi,Canada,SMB,Pro,1100,Non
22/07/2024,Omega,France,Enterprise,Premium,2500,Non
25/07/2024,V1,USA,SMB,Basic,450,Oui
28/07/2024,V2,France,Enterprise,Pro,1200,Non
01/08/2024,V3,USA,Consumer,Basic,300,Oui
03/08/2024,V4,Allemagne,SMB,Pro,1100,Non
05/08/2024,V5,Canada,Enterprise,Premium,2500,Non
08/08/2024,V6,UK,SMB,Basic,450,Oui
10/08/2024,V7,France,Enterprise,Premium,2500,Non
12/08/2024,V8,USA,Consumer,Basic,300,Oui
15/08/2024,V9,Allemagne,Enterprise,Pro,1200,Non
18/08/2024,V10,Canada,SMB,Basic,450,Oui
20/08/2024,V11,France,Enterprise,Premium,2500,Non
22/08/2024,V12,UK,SMB,Pro,1100,Non
25/08/2024,V13,USA,Enterprise,Pro,1200,Oui
28/08/2024,V14,Allemagne,Consumer,Basic,300,Oui
01/09/2024,V15,Canada,Enterprise,Premium,2500,Non
03/09/2024,V16,France,SMB,Pro,1100,Non
05/09/2024,V17,USA,Enterprise,Pro,1200,Non
08/09/2024,V18,UK,Consumer,Basic,300,Oui
10/09/2024,V19,Allemagne,Enterprise,Premium,2500,Non
12/09/2024,V20,France,SMB,Basic,450,Oui
15/09/2024,V21,USA,Enterprise,Premium,2500,Non
18/09/2024,V22,Canada,SMB,Basic,450,Non
20/09/2024,V23,Allemagne,Enterprise,Pro,1200,Non
22/09/2024,V24,UK,SMB,Pro,1100,Non
25/09/2024,V25,France,Enterprise,Premium,2500,Non
28/09/2024,V26,USA,SMB,Basic,450,Oui
01/10/2024,V27,Allemagne,Enterprise,Pro,1200,Non
03/10/2024,V28,Canada,Consumer,Basic,300,Oui
05/10/2024,V29,France,Enterprise,Premium,2500,Non
08/10/2024,V30,UK,SMB,Pro,1100,Non
10/10/2024,V31,USA,Enterprise,Pro,1200,Oui
12/10/2024,V32,Allemagne,SMB,Basic,450,Non
15/10/2024,V33,Canada,Consumer,Basic,300,Oui
18/10/2024,V34,France,Enterprise,Premium,2500,Non
20/10/2024,V35,UK,SMB,Pro,1100,Non
22/10/2024,V36,USA,Enterprise,Pro,1200,Non
25/10/2024,V37,Allemagne,Consumer,Basic,300,Oui
28/10/2024,V38,Canada,Enterprise,Premium,2500,Non
01/11/2024,V39,France,SMB,Pro,1100,Non
03/11/2024,V40,USA,Enterprise,Pro,1200,Non
05/11/2024,V41,UK,Consumer,Basic,300,Oui
08/11/2024,V42,Allemagne,Enterprise,Premium,2500,Non
10/11/2024,V43,Canada,SMB,Basic,450,Oui
12/11/2024,V44,France,Enterprise,Premium,2500,Non
15/11/2024,V45,UK,SMB,Pro,1100,Non
18/11/2024,V46,USA,Enterprise,Pro,1200,Oui
20/11/2024,V47,Allemagne,Consumer,Basic,300,Oui
22/11/2024,V48,Canada,Enterprise,Premium,2500,Non
25/11/2024,V49,France,SMB,Pro,1100,Non
28/11/2024,V50,USA,Enterprise,Pro,1200,Non
01/12/2024,V51,UK,Consumer,Basic,300,Oui
03/12/2024,V52,Allemagne,Enterprise,Premium,2500,Non
05/12/2024,V53,Canada,SMB,Basic,450,Oui
08/12/2024,V54,France,Enterprise,Premium,2500,Non
10/12/2024,V55,UK,SMB,Pro,1100,Non
12/12/2024,V56,USA,Enterprise,Pro,1200,Oui
15/12/2024,V57,Allemagne,Consumer,Basic,300,Oui
18/12/2024,V58,Canada,Enterprise,Premium,2500,Non
20/12/2024,V59,France,SMB,Pro,1100,Non
22/12/2024,V60,USA,Enterprise,Pro,1200,Non
25/12/2024,V61,UK,Consumer,Basic,300,Oui
27/12/2024,V62,Allemagne,Enterprise,Premium,2500,Non
28/12/2024,V63,Canada,SMB,Basic,450,Oui
29/12/2024,V64,France,Enterprise,Premium,2500,Non
30/12/2024,V65,USA,SMB,Pro,1100,Non
01/01/2024,X1,France,Enterprise,Premium,2500,Non
10/01/2024,X2,USA,SMB,Basic,450,Oui
20/01/2024,X3,Allemagne,Consumer,Basic,300,Oui
30/01/2024,X4,Canada,Enterprise,Pro,1200,Non
10/02/2024,X5,UK,SMB,Basic,450,Oui
20/02/2024,X6,France,Enterprise,Premium,2500,Non
01/03/2024,X7,USA,Consumer,Basic,300,Oui
10/03/2024,X8,Allemagne,Enterprise,Pro,1200,Non
20/03/2024,X9,Canada,SMB,Basic,450,Oui
30/03/2024,X10,UK,Enterprise,Premium,2500,Non
10/04/2024,X11,France,SMB,Pro,1100,Non
20/04/2024,X12,USA,Enterprise,Pro,1200,Oui
01/05/2024,X13,Allemagne,Consumer,Basic,300,Oui
10/05/2024,X14,Canada,Enterprise,Premium,2500,Non
20/05/2024,X15,UK,SMB,Pro,1100,Non
30/05/2024,X16,France,Enterprise,Pro,1200,Non
10/06/2024,X17,USA,Consumer,Basic,300,Oui
20/06/2024,X18,Allemagne,Enterprise,Premium,2500,Non
30/06/2024,X19,Canada,SMB,Basic,450,Oui
10/07/2024,X20,UK,Enterprise,Pro,1200,Non
20/07/2024,X21,France,SMB,Basic,450,Oui
30/07/2024,X22,USA,Enterprise,Premium,2500,Non
10/08/2024,X23,Allemagne,Consumer,Basic,300,Oui
20/08/2024,X24,Canada,Enterprise,Pro,1200,Non
30/08/2024,X25,UK,SMB,Basic,450,Oui
10/09/2024,X26,France,Enterprise,Premium,2500,Non
20/09/2024,X27,USA,Consumer,Basic,300,Oui
30/09/2024,X28,Allemagne,Enterprise,Pro,1200,Non
10/10/2024,X29,Canada,SMB,Basic,450,Oui
20/10/2024,X30,UK,Enterprise,Premium,2500,Non
30/10/2024,X31,France,SMB,Pro,1100,Non
10/11/2024,X32,USA,Enterprise,Pro,1200,Oui
20/11/2024,X33,Allemagne,Consumer,Basic,300,Oui
30/11/2024,X34,Canada,Enterprise,Premium,2500,Non
10/12/2024,X35,UK,SMB,Pro,1100,Non
20/12/2024,X36,France,Enterprise,Pro,1200,Non
25/12/2024,X37,USA,Consumer,Basic,300,Oui
28/12/2024,X38,Allemagne,Enterprise,Premium,2500,Non
30/12/2024,X39,Canada,SMB,Basic,450,Oui
31/12/2024,X40,UK,Enterprise,Pro,1200,Non
